"z","locations","text"
"21.71","AFG","Afghanistan"
"13.4","ALB","Albania"
"227.8","DZA","Algeria"
"0.75","ASM","American Samoa"
"4.8","AND","Andorra"
"131.4","AGO","Angola"
"0.18","AIA","Anguilla"
"1.24","ATG","Antigua and Barbuda"
"536.2","ARG","Argentina"
"10.88","ARM","Armenia"
"2.52","ABW","Aruba"
"1483.0","AUS","Australia"
"436.1","AUT","Austria"
"77.91","AZE","Azerbaijan"
"8.65","BHM","Bahamas, The"
"34.05","BHR","Bahrain"
"186.6","BGD","Bangladesh"
"4.28","BRB","Barbados"
"75.25","BLR","Belarus"
"527.8","BEL","Belgium"
"1.67","BLZ","Belize"
"9.24","BEN","Benin"
"5.2","BMU","Bermuda"
"2.09","BTN","Bhutan"
"34.08","BOL","Bolivia"
"19.55","BIH","Bosnia and Herzegovina"
"16.3","BWA","Botswana"
"2244.0","BRA","Brazil"
"1.1","VGB","British Virgin Islands"
"17.43","BRN","Brunei"
"55.08","BGR","Bulgaria"
"13.38","BFA","Burkina Faso"
"65.29","MMR","Burma"
"3.04","BDI","Burundi"
"1.98","CPV","Cabo Verde"
"16.9","KHM","Cambodia"
"32.16","CMR","Cameroon"
"1794.0","CAN","Canada"
"2.25","CYM","Cayman Islands"
"1.73","CAF","Central African Republic"
"15.84","TCD","Chad"
"264.1","CHL","Chile"
"10360.0","CHN","China"
"400.1","COL","Colombia"
"0.72","COM","Comoros"
"32.67","COD","Congo, Democratic Republic of the"
"14.11","COG","Congo, Republic of the"
"0.18","COK","Cook Islands"
"50.46","CRI","Costa Rica"
"33.96","CIV","Cote d'Ivoire"
"57.18","HRV","Croatia"
"77.15","CUB","Cuba"
"5.6","CUW","Curacao"
"21.34","CYP","Cyprus"
"205.6","CZE","Czech Republic"
"347.2","DNK","Denmark"
"1.58","DJI","Djibouti"
"0.51","DMA","Dominica"
"64.05","DOM","Dominican Republic"
"100.5","ECU","Ecuador"
"284.9","EGY","Egypt"
"25.14","SLV","El Salvador"
"15.4","GNQ","Equatorial Guinea"
"3.87","ERI","Eritrea"
"26.36","EST","Estonia"
"49.86","ETH","Ethiopia"
"0.16","FLK","Falkland Islands (Islas Malvinas)"
"2.32","FRO","Faroe Islands"
"4.17","FJI","Fiji"
"276.3","FIN","Finland"
"2902.0","FRA","France"
"7.15","PYF","French Polynesia"
"20.68","GAB","Gabon"
"0.92","GMB","Gambia, The"
"16.13","GEO","Georgia"
"3820.0","DEU","Germany"
"35.48","GHA","Ghana"
"1.85","GIB","Gibraltar"
"246.4","GRC","Greece"
"2.16","GRL","Greenland"
"0.84","GRD","Grenada"
"4.6","GUM","Guam"
"58.3","GTM","Guatemala"
"2.74","GGY","Guernsey"
"1.04","GNB","Guinea-Bissau"
"6.77","GIN","Guinea"
"3.14","GUY","Guyana"
"8.92","HTI","Haiti"
"19.37","HND","Honduras"
"292.7","HKG","Hong Kong"
"129.7","HUN","Hungary"
"16.2","ISL","Iceland"
"2048.0","IND","India"
"856.1","IDN","Indonesia"
"402.7","IRN","Iran"
"232.2","IRQ","Iraq"
"245.8","IRL","Ireland"
"4.08","IMN","Isle of Man"
"305.0","ISR","Israel"
"2129.0","ITA","Italy"
"13.92","JAM","Jamaica"
"4770.0","JPN","Japan"
"5.77","JEY","Jersey"
"36.55","JOR","Jordan"
"225.6","KAZ","Kazakhstan"
"62.72","KEN","Kenya"
"0.16","KIR","Kiribati"
"28.0","PRK","Korea, North"
"1410.0","KOR","Korea, South"
"5.99","KSV","Kosovo"
"179.3","KWT","Kuwait"
"7.65","KGZ","Kyrgyzstan"
"11.71","LAO","Laos"
"32.82","LVA","Latvia"
"47.5","LBN","Lebanon"
"2.46","LSO","Lesotho"
"2.07","LBR","Liberia"
"49.34","LBY","Libya"
"5.11","LIE","Liechtenstein"
"48.72","LTU","Lithuania"
"63.93","LUX","Luxembourg"
"51.68","MAC","Macau"
"10.92","MKD","Macedonia"
"11.19","MDG","Madagascar"
"4.41","MWI","Malawi"
"336.9","MYS","Malaysia"
"2.41","MDV","Maldives"
"12.04","MLI","Mali"
"10.57","MLT","Malta"
"0.18","MHL","Marshall Islands"
"4.29","MRT","Mauritania"
"12.72","MUS","Mauritius"
"1296.0","MEX","Mexico"
"0.34","FSM","Micronesia, Federated States of"
"7.74","MDA","Moldova"
"6.06","MCO","Monaco"
"11.73","MNG","Mongolia"
"4.66","MNE","Montenegro"
"112.6","MAR","Morocco"
"16.59","MOZ","Mozambique"
"13.11","NAM","Namibia"
"19.64","NPL","Nepal"
"880.4","NLD","Netherlands"
"11.1","NCL","New Caledonia"
"201.0","NZL","New Zealand"
"11.85","NIC","Nicaragua"
"594.3","NGA","Nigeria"
"8.29","NER","Niger"
"0.01","NIU","Niue"
"1.23","MNP","Northern Mariana Islands"
"511.6","NOR","Norway"
"80.54","OMN","Oman"
"237.5","PAK","Pakistan"
"0.65","PLW","Palau"
"44.69","PAN","Panama"
"16.1","PNG","Papua New Guinea"
"31.3","PRY","Paraguay"
"208.2","PER","Peru"
"284.6","PHL","Philippines"
"552.2","POL","Poland"
"228.2","PRT","Portugal"
"93.52","PRI","Puerto Rico"
"212.0","QAT","Qatar"
"199.0","ROU","Romania"
"2057.0","RUS","Russia"
"8.0","RWA","Rwanda"
"0.81","KNA","Saint Kitts and Nevis"
"1.35","LCA","Saint Lucia"
"0.56","MAF","Saint Martin"
"0.22","SPM","Saint Pierre and Miquelon"
"0.75","VCT","Saint Vincent and the Grenadines"
"0.83","WSM","Samoa"
"1.86","SMR","San Marino"
"0.36","STP","Sao Tome and Principe"
"777.9","SAU","Saudi Arabia"
"15.88","SEN","Senegal"
"42.65","SRB","Serbia"
"1.47","SYC","Seychelles"
"5.41","SLE","Sierra Leone"
"307.9","SGP","Singapore"
"304.1","SXM","Sint Maarten"
"99.75","SVK","Slovakia"
"49.93","SVN","Slovenia"
"1.16","SLB","Solomon Islands"
"2.37","SOM","Somalia"
"341.2","ZAF","South Africa"
"11.89","SSD","South Sudan"
"1400.0","ESP","Spain"
"71.57","LKA","Sri Lanka"
"70.03","SDN","Sudan"
"5.27","SUR","Suriname"
"3.84","SWZ","Swaziland"
"559.1","SWE","Sweden"
"679.0","CHE","Switzerland"
"64.7","SYR","Syria"
"529.5","TWN","Taiwan"
"9.16","TJK","Tajikistan"
"36.62","TZA","Tanzania"
"373.8","THA","Thailand"
"4.51","TLS","Timor-Leste"
"4.84","TGO","Togo"
"0.49","TON","Tonga"
"29.63","TTO","Trinidad and Tobago"
"49.12","TUN","Tunisia"
"813.3","TUR","Turkey"
"43.5","TKM","Turkmenistan"
"0.04","TUV","Tuvalu"
"26.09","UGA","Uganda"
"134.9","UKR","Ukraine"
"416.4","ARE","United Arab Emirates"
"2848.0","GBR","United Kingdom"
"17420.0","USA","United States"
"55.6","URY","Uruguay"
"63.08","UZB","Uzbekistan"
"0.82","VUT","Vanuatu"
"209.2","VEN","Venezuela"
"187.8","VNM","Vietnam"
"5.08","VGB","Virgin Islands"
"6.64","WBG","West Bank"
"45.45","YEM","Yemen"
"25.61","ZMB","Zambia"
"13.74","ZWE","Zimbabwe"
